Période;Valeur;Code;Type;Sous-type;Base;Population;Zone concernée;Code COICOP;Désignation COICOP;Série arrêtée;Référence INSEE
2022-05-01;106.43;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.2.2;Eaux minérales, boissons rafraîchissantes, jus de fruits et de légumes;Non;1763487
2022-05-01;106.74;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;02.1.1;Alcools de bouche;Non;1763493
2022-05-01;107.58;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.4.3;Reprise des eaux usées;Non;1763548
2022-05-01;97.24;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.3.2;Petits appareils électroménagers;Non;1763592
2022-05-01;101.04;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.3.2.9;Autres petits appareils électroménagers;Non;1763597
2022-05-01;71.63;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.1.2;Produits médicaux divers;Non;1763624
2022-05-01;93.9;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.1.3.2;Aides auditives;Non;1763629
2022-05-01;108.86;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.2.1.1;Médecins généralistes;Non;1763633
2022-05-01;107.29;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.2.3.2;Cures thermales, transport sanitaire et location de matériel thérapeutique;Non;1763639
2022-05-01;121.11;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07;Transports;Non;1763641
2022-05-01;111.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.1.2;Motocycles;Non;1763646
2022-05-01;101.82;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.2.1.3;Accessoires pour véhicules personnels;Non;1763654
2022-05-01;112.72;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;11;Restaurants et hôtels;Non;1763781
2022-05-01;119.21;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.3.1.1;Bijouterie;Non;1763806
2022-05-01;113.1;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.5;Assurance;Non;1763818
2022-05-01;115.16;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.5.4;Assurance transport;Non;1763823
